github.com/docker/compose/v2,https://github.com/docker/compose/blob/v2.27.1/LICENSE,Apache-2.0,Docker
github.com/docker/distribution,https://github.com/docker/distribution/blob/v2.8.3/LICENSE,Apache-2.0,Docker
github.com/docker/docker,https://github.com/docker/docker/blob/v26.1.4/LICENSE,Apache-2.0,Docker
github.com/docker/docker-credential-helpers,https://github.com/docker/docker-credential-helpers/blob/v0.8.2/LICENSE,MIT,Docker
github.com/docker/go-connections,https://github.com/docker/go-connections/blob/v0.5.0/LICENSE,Apache-2.0,Docker
github.com/docker/go-metrics,https://github.com/docker/go-metrics/blob/v0.0.1/LICENSE,Apache-2.0,Docker
github.com/docker/go-units,https://github.com/docker/go-units/blob/v0.5.0/LICENSE,Apache-2.0,Docker
github.com/docker/go/canonical/json,https://github.com/docker/go/blob/d30aec9fd63c/LICENSE,BSD-3-Clause,Docker
github.com/dustin/go-humanize,https://github.com/dustin/go-humanize/blob/v1.0.1/LICENSE,MIT,Dustin Sallings
github.com/eiannone/keyboard,https://github.com/eiannone/keyboard/blob/0d226195f203/LICENSE,MIT,Emanuele Iannone
github.com/emicklei/go-restful/v3,https://github.com/emicklei/go-restful/blob/v3.12.1/LICENSE,MIT,Ernest Micklei
github.com/evanphx/json-patch,https://github.com/evanphx/json-patch/blob/v5.9.0/LICENSE,BSD-3-Clause,Evan Phoenix
github.com/evanphx/json-patch/v5,https://github.com/evanphx/json-patch/blob/v5.9.0/v5/LICENSE,BSD-3-Clause,Evan Phoenix
github.com/felixge/httpsnoop,https://github.com/felixge/httpsnoop/blob/v1.0.4/LICENSE.txt,MIT,Felix Geisendörfer
github.com/fsnotify/fsevents,https://github.com/fsnotify/fsevents/blob/v0.2.0/LICENSE,BSD-3-Clause,fsnotify
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify/blob/v1.7.0/LICENSE,BSD-3-Clause,fsnotify
github.com/fvbommel/sortorder,https://github.com/fvbommel/sortorder/blob/v1.1.0/LICENSE,MIT,fvbommel
github.com/gabriel-vasile/mimetype,https://github.com/gabriel-vasile/mimetype/blob/v1.4.4/LICENSE,MIT,Gabriel Vasile
github.com/go-logr/logr,https://github.com/go-logr/logr/blob/v1.4.2/LICENSE,Apache-2.0,go-logr
github.com/go-logr/stdr,https://github.com/go-logr/stdr/blob/v1.2.2/LICENSE,Apache-2.0,go-logr
github.com/go-openapi/jsonpointer,https://github.com/go-openapi/jsonpointer/blob/v0.21.0/LICENSE,Apache-2.0,OpenAPI Initiative golang toolkit
github.com/go-openapi/jsonreference,https://github.com/go-openapi/jsonreference/blob/v0.21.0/LICENSE,Apache-2.0,OpenAPI Initiative golang toolkit
github.com/go-openapi/swag,https://github.com/go-openapi/swag/blob/v0.23.0/LICENSE,Apache-2.0,OpenAPI Initiative golang toolkit
github.com/go-playground/locales,https://github.com/go-playground/locales/blob/v0.14.1/LICENSE,MIT,Go Playgound
github.com/go-playground/universal-translator,https://github.com/go-playground/universal-translator/blob/v0.18.1/LICENSE,MIT,Go Playgound
github.com/go-playground/validator/v10,https://github.com/go-playground/validator/blob/v10.21.0/LICENSE,MIT,Go Playgound
github.com/go-viper/mapstructure/v2,https://github.com/go-viper/mapstructure/blob/v2.0.0/LICENSE,MIT,Viper
github.com/gofrs/flock,https://github.com/gofrs/flock/blob/v0.8.1/LICENSE,BSD-3-Clause,The Go Commune
github.com/gogo/googleapis/google/rpc,https://github.com/gogo/googleapis/blob/v1.4.1/LICENSE,Apache-2.0,gogoprotobuf
github.com/gogo/protobuf,https://github.com/gogo/protobuf/blob/v1.3.2/LICENSE,BSD-3-Clause,gogoprotobuf
github.com/golang-jwt/jwt/v5,https://github.com/golang-jwt/jwt/blob/v5.2.1/LICENSE,MIT,golang-jwt
github.com/golang/groupcache/lru,https://github.com/golang/groupcache/blob/41bb18bfe9da/LICENSE,Apache-2.0,Go
github.com/golang/protobuf,https://github.com/golang/protobuf/blob/v1.5.4/LICENSE,BSD-3-Clause,Go
github.com/golang/snappy,https://github.com/golang/snappy/blob/v0.0.4/LICENSE,BSD-3-Clause,Go
github.com/google/gnostic-models,https://github.com/google/gnostic-models/blob/v0.6.8/LICENSE,Apache-2.0,Google
github.com/google/go-cmp/cmp,https://github.com/google/go-cmp/blob/v0.6.0/LICENSE,BSD-3-Clause,Google
github.com/google/gofuzz,https://github.com/google/gofuzz/blob/v1.2.0/LICENSE,Apache-2.0,Google
github.com/google/pprof/profile,https://github.com/google/pprof/blob/186aa0362fba/LICENSE,Apache-2.0,Google
github.com/google/s2a-go,https://github.com/google/s2a-go/blob/v0.1.7/LICENSE.md,Apache-2.0,Google
